codigo,jurisdicao,abreviacao,nome_completo,nome_alternativo,norma_criacao
MG-22,br;mg,CBHCOMPÉ,CBH dos Afluentes Mineiros dos Rios Pomba e Muriaé,CBH do Entorno da Represa de Três Marias,Dec. 43.798
MG-23,br;mg,CBHRSA,CBH do Rio Santo Antonio,CBH do Rio Dourados,Dec. 43.958
MG-24,br;mg,CBHSF9,CBH dos Afluentes Mineiros do Médio São Francisco,CBH Mineiro do Rio Urucuia,Dec. 44.201
MG-25,br;mg,CBHAASF,CBH dos Afluentes do Alto São Francisco,CBH dos Afluentes Mineiros dos Rios Pomba e Muriaé,Dec. 44.290
MG-26,br;mg,CBHSM1,CBH do Rio São Mateus,CBH dos Afluentes Mineiros dos Rios Preto e Paraibuna,Dec. 44.199
MG-27,br;mg,CBHRSP,CBH do Rio Sapucaí,CBH dos Afluentes Mineiros dos Rios Mogi-Guaçu e Pardo,Dec. 40.930
MG-28,br;mg,CBHSU,CBH do Rio Suaçui,CBH do Rio Araguari,Dec. 39.912
MG-29,br;mg,CBHTM,CBH do Entorno da Represa de Três Marias,CBH do Alto Rio Grande,Dec. 44.432
MG-30,br;mg,CBHRV,CBH do Rio das Velhas,CBH Vertentes do Rio Grande,Dec. 44.9690
MG-31,br;mg,CBHRV,CBH do Rio Verde,CBH do Médio e Baixo Jequitinhonha,Dec. 44.955
MG-32,br;mg,CBHAMRVG,CBH dos Afluentes Mineiros do Rio Verde Grande,CBH dos Afluentes Mineiros do Médio São Francisco,Dec. 44.956
MG-33,br;mg,CBHSF8,CBH do Rio Urucuia - SF8,CBH do Rio Mucuri,Dec. 44.865
MG-34,br;mg,CBH-Caratinga,Comitê da Bacia Hidrográfica do Rio Caratinga,CBH dos Afluentes Mineiros do Alto Jequitinhonha,Dec. 45.183
MS-01,br;ms,CBHRIV,CBH do Rio Ivinhema,,
MS-02,br;ms,CBHRM,CBH do Rio Miranda,,
MS-03,br;ms,CBH DOS RIOS SANTANA E APORÉ,CBH Santana e Aporé,,
MT-01,br;mt,CBH COVAPÉ,Comitê de Bacia Hidrográfica dos R. Várzea Grande e Sapé,,
MT-02,br;mt,CBH SEPOTUBA,CBH do Rio Sepotuba,,
MT-03,br;mt,CBH-BAIXO TELES PIRES ME,CBH dos Afluentes da Margem Esquerda do Baixo Teles Pires,,
MT-04,br;mt,CBH SÃO LOURENÇO,CBH do Rio São Lourenço,,
MT-05,br;mt,CBH-ALTO TELES PIRES MD,CBH do Alto Teles Pires – Margem Direita,,
MT-06,br;mt,CBH - CABAÇAL,CBH do Cabaçal,,
MT-07,br;mt,CBH-CUIABÁ ME,"CBH dos Afluentes da Margens Esquerda do Rio Cuiabá,",,
MT-08,br;mt,CBH MÉDIO TELES PIRES,CBH do Médio Teles Pires,,
MT-09,br;mt,CBH - JAURU,CBH do Jauru,,
MT-10,br;mt,CBH ALTO ARAGUAIA,CBH dos Afluentes do Alto Araguaia,,
PB-01,br;pb,CBHLN,CBH do Litoral Norte,CBH do Rio Paraíba,Dec. 27.560
PB-02,br;pb,CBHLSB,CBH do Litoral Sul,CBH Litoral Sul,Dec. 27.562
PB-03,br;pb,CBHRPB,CBH do Rio Paraíba,CBH Litoral Norte,Dec. 27.561
PE-01,br;pe,CBHCP,CBH do Capibaribe,CBH Metropolitano Sul,Res. 01
PE-02,br;pe,CBHIPO,CBH do Rio Ipojuca,CBH do Rio Pajeú,Res. 03
PE-03,br;pe,CBHRJP,CBH do Rio Jaboatão e Pirapama,CBH do Rio Una,Res. 05
PE-04,br;pe,CBHNORTE/GL1,COMITÊ METROPOLITANO NORTE (GL-1),CBH do Rio Goiana,Res. 02
PE-05,br;pe,CBHSUL/GL2,COMITÊ METROPOLITANO SUL (GL-2),CBH do Rio Ipojuca,Res. 02
PE-06,br;pe,CBHRPJ,CBH do Rio Pajeú,CBH do Rio Capibaribe,Res. 07
PE-07,br;pe,CBHGO,CBH Goiana,,
