codigo,sigla,nome_completo
SP-04,CBH DO ALTO PARANAPANEMA,CBH do Alto Paranapanema
SP-05,CBH DO RIO PARAÍBA DO SUL,CBH do Rio Paraíba do Sul
SP-06,CBH-PARDO,CBH do Pardo
SP-07,CBH DO RIO SÃO JOSÉ DOS DOURADOS,CBH do Rio São José dos Dourados
SP-08,CBH DO BAIXO PARDO/GRANDE,CBH do Baixo Pardo/Grande
SP-09,CBH DO PONTAL DO PARANAPANEMA,CBH do Pontal do Paranapanema
SP-10,CBHPG,CBH do Rio Piranga
SP-11,CBH-LITORAL NORTE,CBH do Litoral Norte
SP-12,CBH DA SERRA DA MANTIQUEIRA,CBH da Serra da Mantiqueira
SP-13,CBH DO RIO MOGI-GUAÇU,CBH do Rio Mogi-Guaçu
SP-14,CBH DO RIBEIRA DE IGUAPE E LITORAL SUL,CBH do Ribeira de Iguape e Litoral Sul
SP-15,CBH DO SAPUCAÍ MIRIM/GRANDE,CBH do Sapucaí Mirim/Grande
SP-16,CBH DO RIO SOROCABA E MÉDIO TIETÊ,CBH do Rio Sorocaba e Médio Tietê
SP-17,CBH DO BAIXO TIETÊ,CBH do Baixo Tietê
SP-18,CBH DO ALTO TIETÊ,CBH do Alto Tietê
SP-19,CBH DO TIETÊ BATALHA,CBH do Tietê Batalha
SP-20,CBH DO TIETÊ JACARÉ,CBH do Tietê Jacaré
SP-21,CBH DO RIO TURVO/GRANDE,CBH do Rio Turvo/Grande
TO-01,CBH DO RIO FORMOSO,CBH DO RIO FORMOSO
TO-02,COMITÊ DA BACIA HIDROGRÁFICA DO LAGO DE PALMAS,COMITÊ DA BACIA HIDROGRÁFICA DO LAGO DE PALMAS
TO-03,CBH DOS RIOS LONTRA E CORDA,CBH dos Rios Lontra e Corda
TO-04,CBH DO RIO MANUEL ALVES,CBH DO RIO MANUEL ALVES
